user_id,purchase,pay_dt,media_source
1881143d,0.99,2021-10-09,Google Adwords
18824edd,0.99,2021-10-23,Google Adwords
18824edd,0.99,2021-10-23,Google Adwords
188f076c,0.99,2021-10-15,Facebook Ads
189d443c,0.99,2021-10-01,Facebook Ads
189d443c,0.99,2021-10-01,Facebook Ads
18b41f38,0.99,2021-10-06,Google Adwords
18b41f38,0.99,2021-10-06,Google Adwords
18b41f38,0.99,2021-10-06,Google Adwords
18b41f38,0.99,2021-10-06,Google Adwords
18c15cc6,0.99,2021-10-17,Google Adwords
18c15cc6,0.99,2021-10-17,Google Adwords
18d521a4,2.99,2021-10-14,Facebook Ads
18d521a4,2.99,2021-10-14,Facebook Ads
18f57af7,2.99,2021-10-05,Facebook Ads
1901c56e,2.99,2021-10-23,Google Adwords
192bd241,0.99,2021-10-15,Google Adwords
192bd241,2.99,2021-10-15,Google Adwords
192bd241,0.99,2021-10-15,Google Adwords
192c972f,0.99,2021-10-14,Facebook Ads
192c972f,2.99,2021-10-15,Facebook Ads
19524b8b,2.99,2021-10-02,Facebook Ads
19524b8b,4.99,2021-10-02,Facebook Ads
195425df,2.99,2021-10-28,Google Adwords
19587759,0.99,2021-10-28,Google Adwords
19587759,0.99,2021-10-28,Google Adwords
195d8e42,0.99,2021-10-08,Facebook Ads
195d8e42,0.99,2021-10-08,Facebook Ads
195d8e42,0.99,2021-10-08,Facebook Ads
195d8e42,0.99,2021-10-08,Facebook Ads
195d8e42,0.99,2021-10-08,Facebook Ads
195d8e42,0.99,2021-10-08,Facebook Ads
195d8e42,0.99,2021-10-08,Facebook Ads
